variant,date,setup,side,micro_mode,micro_confirmed,micro_reason,micro_confidence,micro_bars_waited,micro_refined_r,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
micro_fallback_pm30,2026-02-20,ORB,long,fallback,False,fallback: no 1m confirmation within wait window,0.00,5,1.00,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
micro_fallback_pm30,2026-02-24,EMA PB,long,fallback,False,fallback: no 1m rejection candle,0.00,5,1.00,25239.00,24903.50,25574.50,25742.25,335.50,32.8,RISK-ON,25021.25,session_end,0.000,0.00,0.08,-0.67
micro_fallback_pm30,2026-02-25,ORB,long,fallback,False,fallback: no 1m confirmation within wait window,0.00,5,1.00,25763.00,25147.81,25833.55,26003.44,615.19,38.8,RISK-ON,25314.25,timeout,0.000,0.00,0.03,-0.80
micro_fallback_pm30,2026-02-26,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,4,19.67,25193.00,25212.50,25134.11,25018.80,19.50,38.8,RISK-ON,25187.15,trail_lock,0.300,11.70,1.08,-0.92
micro_fallback_pm30,2026-03-04,EMA PB,long,fallback,False,fallback: no 1m rejection candle,0.00,5,1.00,25413.00,24977.65,25848.35,26066.03,435.35,31.1,NEUTRAL,25189.00,session_end,0.000,0.00,0.00,-0.52
micro_fallback_pm30,2026-03-05,EMA PB,long,fallback,False,fallback: no 1m rejection candle,0.00,5,1.00,25305.50,24877.90,25733.10,25946.89,427.60,31.4,RISK-ON,25298.00,timeout,0.000,0.00,0.44,-0.88
micro_strict_pm40,2019-11-06,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,2,5.17,8178.50,8186.75,8180.84,8170.46,8.25,46.2,RISK-ON,8176.02,trail_lock,0.300,4.95,1.12,-0.09
micro_strict_pm40,2020-01-08,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,0,7.14,8922.75,8913.00,8911.60,8928.90,9.75,44.4,RISK-ON,8922.75,tp1_then_be,0.500,9.75,0.97,0.00
micro_strict_pm40,2020-01-10,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,7.86,8989.25,8995.50,8994.37,8981.48,6.25,46.5,RISK-ON,8995.50,stop,-1.000,-12.50,0.00,-1.36
micro_strict_pm40,2021-01-15,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,2,188.45,12815.25,12816.00,12865.97,12848.75,0.75,46.2,RISK-ON,12816.00,stop,-1.000,-1.50,0.00,-24.67
micro_strict_pm40,2021-01-25,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,27.91,13412.75,13418.00,13464.71,13440.49,5.25,45.7,RISK-ON,13412.75,tp1_then_be,0.500,5.25,2.43,-1.76
micro_strict_pm40,2021-01-29,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,4,29.69,12901.25,12911.50,12949.22,12899.57,10.25,47.2,RISK-ON,12898.17,trail_lock,0.300,6.15,1.27,-0.37
micro_strict_pm40,2021-02-08,ORB,short,strict,True,1m confirmed below OR+strong close,0.96,1,8.59,13605.75,13613.25,13612.63,13595.93,7.50,44.0,RISK-ON,13605.75,tp1_then_be,0.500,7.50,2.00,-0.77
micro_strict_pm40,2021-02-16,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,144.19,13705.00,13706.00,13783.88,13763.38,1.00,51.9,RISK-ON,13706.00,stop,-1.000,-2.00,0.00,-29.50
micro_strict_pm40,2021-12-01,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,4,5.86,16260.25,16280.00,16248.11,16219.30,19.75,41.2,RISK-ON,16254.33,trail_lock,0.300,11.85,1.29,0.00
micro_strict_pm40,2021-12-09,ORB,short,strict,True,1m confirmed below OR+strong close,0.75,0,27.75,16210.25,16217.50,16313.33,16286.08,7.25,42.2,NEUTRAL,16208.08,trail_lock,0.300,4.35,0.72,-1.28
micro_strict_pm40,2022-03-01,ORB,short,strict,True,1m confirmed below OR+strong close,0.89,0,10.43,14074.50,14091.25,14126.50,14092.16,16.75,45.2,RISK-ON,14074.50,tp1_then_be,0.500,16.75,0.43,-0.82
micro_strict_pm40,2022-03-08,ORB,long,strict,True,1m confirmed above OR+strong close,0.82,0,18.51,13536.00,13518.25,13413.14,13466.42,17.75,44.2,RISK-ON,13541.33,trail_lock,0.300,10.65,0.96,0.00
micro_strict_pm40,2023-02-01,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,1,14.69,12304.75,12290.75,12321.87,12381.82,14.00,40.2,RISK-ON,12290.75,stop,-1.000,-28.00,0.00,-9.71
micro_strict_pm40,2023-11-14,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,3,51.00,16064.25,16054.50,16106.17,16189.38,9.75,44.4,RISK-ON,16054.50,stop,-1.000,-19.50,0.00,-20.92
micro_strict_pm40,2023-11-22,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,33.49,16047.00,16062.75,15939.08,15773.17,15.75,46.0,RISK-ON,16062.75,stop,-1.000,-31.50,0.00,-13.16
micro_strict_pm40,2024-01-02,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,3,27.95,16739.75,16752.75,16685.99,16581.67,13.00,50.5,RISK-ON,16752.75,stop,-1.000,-26.00,0.00,-15.71
micro_strict_pm40,2024-02-13,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,2,43.03,17577.50,17589.75,17502.01,17347.78,12.25,43.8,RISK-ON,17579.00,session_end,0.000,0.00,0.41,-0.39
micro_strict_pm40,2024-02-20,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,1,32.24,17565.00,17578.00,17465.21,17334.76,13.00,40.5,RISK-ON,17578.00,stop,-1.000,-26.00,0.13,-34.73
micro_strict_pm40,2024-11-15,ORB,short,strict,True,1m confirmed below OR+strong close,0.81,0,52.03,20639.00,20650.50,20547.46,20369.97,11.50,41.7,RISK-ON,20650.50,stop,-1.000,-23.00,0.39,-1.61
micro_strict_pm40,2024-12-06,ORB,long,strict,True,1m confirmed above OR+strong close,0.75,2,52.89,21875.50,21867.50,21913.98,22030.67,8.00,44.5,RISK-ON,22030.67,tp2_partial,10.198,163.17,30.03,0.00
micro_strict_pm40,2025-02-06,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,1,22.30,22037.75,22023.50,22079.26,22171.81,14.25,43.9,RISK-ON,22042.03,trail_lock,0.300,8.55,0.98,0.00
micro_strict_pm40,2026-01-21,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,2,34.12,25743.25,25719.25,25814.86,26001.35,24.00,44.8,RISK-ON,25743.25,tp1_then_be,0.500,24.00,9.46,-0.54
micro_fallback_pm40,2019-11-06,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,2,5.17,8178.50,8186.75,8180.84,8170.46,8.25,46.2,RISK-ON,8176.02,trail_lock,0.300,4.95,1.12,-0.09
micro_fallback_pm40,2020-01-08,ORB,long,fallback,True,1m confirmed above OR+strong close,1.00,0,7.14,8922.75,8913.00,8911.60,8928.90,9.75,44.4,RISK-ON,8922.75,tp1_then_be,0.500,9.75,0.97,0.00
micro_fallback_pm40,2020-01-10,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,0,7.86,8989.25,8995.50,8994.37,8981.48,6.25,46.5,RISK-ON,8995.50,stop,-1.000,-12.50,0.00,-1.36
micro_fallback_pm40,2021-01-15,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,2,188.45,12815.25,12816.00,12865.97,12848.75,0.75,46.2,RISK-ON,12816.00,stop,-1.000,-1.50,0.00,-24.67
micro_fallback_pm40,2021-01-25,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,0,27.91,13412.75,13418.00,13464.71,13440.49,5.25,45.7,RISK-ON,13412.75,tp1_then_be,0.500,5.25,2.43,-1.76
micro_fallback_pm40,2021-01-29,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,4,29.69,12901.25,12911.50,12949.22,12899.57,10.25,47.2,RISK-ON,12898.17,trail_lock,0.300,6.15,1.27,-0.37
micro_fallback_pm40,2021-02-08,ORB,short,fallback,True,1m confirmed below OR+strong close,0.96,1,8.59,13605.75,13613.25,13612.63,13595.93,7.50,44.0,RISK-ON,13605.75,tp1_then_be,0.500,7.50,2.00,-0.77
micro_fallback_pm40,2021-02-16,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,0,144.19,13705.00,13706.00,13783.88,13763.38,1.00,51.9,RISK-ON,13706.00,stop,-1.000,-2.00,0.00,-29.50
micro_fallback_pm40,2021-12-01,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,4,5.86,16260.25,16280.00,16248.11,16219.30,19.75,41.2,RISK-ON,16254.33,trail_lock,0.300,11.85,1.29,0.00
micro_fallback_pm40,2021-12-09,ORB,short,fallback,True,1m confirmed below OR+strong close,0.75,0,27.75,16210.25,16217.50,16313.33,16286.08,7.25,42.2,NEUTRAL,16208.08,trail_lock,0.300,4.35,0.72,-1.28
micro_fallback_pm40,2021-12-28,ORB,short,fallback,False,fallback: no 1m confirmation within wait window,0.00,5,1.00,16468.25,16600.72,16500.01,16473.63,132.47,44.7,RISK-ON,16468.25,tp1_then_be,0.500,132.47,0.00,-0.16
micro_fallback_pm40,2022-03-01,ORB,short,fallback,True,1m confirmed below OR+strong close,0.89,0,10.43,14074.50,14091.25,14126.50,14092.16,16.75,45.2,RISK-ON,14074.50,tp1_then_be,0.500,16.75,0.43,-0.82
micro_fallback_pm40,2022-03-08,ORB,long,fallback,True,1m confirmed above OR+strong close,0.82,0,18.51,13536.00,13518.25,13413.14,13466.42,17.75,44.2,RISK-ON,13541.33,trail_lock,0.300,10.65,0.96,0.00
micro_fallback_pm40,2023-02-01,ORB,long,fallback,True,1m confirmed above OR+strong close,1.00,1,14.69,12304.75,12290.75,12321.87,12381.82,14.00,40.2,RISK-ON,12290.75,stop,-1.000,-28.00,0.00,-9.71
micro_fallback_pm40,2023-11-14,ORB,long,fallback,True,1m confirmed above OR+strong close,1.00,3,51.00,16064.25,16054.50,16106.17,16189.38,9.75,44.4,RISK-ON,16054.50,stop,-1.000,-19.50,0.00,-20.92
micro_fallback_pm40,2023-11-22,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,0,33.49,16047.00,16062.75,15939.08,15773.17,15.75,46.0,RISK-ON,16062.75,stop,-1.000,-31.50,0.00,-13.16
micro_fallback_pm40,2024-01-02,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,3,27.95,16739.75,16752.75,16685.99,16581.67,13.00,50.5,RISK-ON,16752.75,stop,-1.000,-26.00,0.00,-15.71
micro_fallback_pm40,2024-01-17,ORB,long,fallback,False,fallback: no 1m confirmation within wait window,0.00,5,1.00,17128.25,16704.32,17136.59,17244.20,423.93,45.6,RISK-ON,16704.32,stop,-1.000,-847.87,0.00,-1.00
micro_fallback_pm40,2024-02-13,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,2,43.03,17577.50,17589.75,17502.01,17347.78,12.25,43.8,RISK-ON,17579.00,session_end,0.000,0.00,0.41,-0.39
micro_fallback_pm40,2024-02-20,ORB,short,fallback,True,1m confirmed below OR+strong close,1.00,1,32.24,17565.00,17578.00,17465.21,17334.76,13.00,40.5,RISK-ON,17578.00,stop,-1.000,-26.00,0.13,-34.73
micro_fallback_pm40,2024-11-15,ORB,short,fallback,True,1m confirmed below OR+strong close,0.81,0,52.03,20639.00,20650.50,20547.46,20369.97,11.50,41.7,RISK-ON,20650.50,stop,-1.000,-23.00,0.39,-1.61
micro_fallback_pm40,2024-12-06,ORB,long,fallback,True,1m confirmed above OR+strong close,0.75,2,52.89,21875.50,21867.50,21913.98,22030.67,8.00,44.5,RISK-ON,22030.67,tp2_partial,10.198,163.17,30.03,0.00
micro_fallback_pm40,2025-02-06,ORB,long,fallback,True,1m confirmed above OR+strong close,1.00,1,22.30,22037.75,22023.50,22079.26,22171.81,14.25,43.9,RISK-ON,22042.03,trail_lock,0.300,8.55,0.98,0.00
micro_fallback_pm40,2026-01-21,ORB,long,fallback,True,1m confirmed above OR+strong close,1.00,2,34.12,25743.25,25719.25,25814.86,26001.35,24.00,44.8,RISK-ON,25743.25,tp1_then_be,0.500,24.00,9.46,-0.54
micro_fallback_pm40,2026-02-20,ORB,long,fallback,False,fallback: no 1m confirmation within wait window,0.00,5,1.00,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
v3_baseline_pm30,2019-05-17,EMA PB,short,baseline,False,baseline_no_micro,0.00,0,1.00,7514.25,7537.20,7491.30,7479.83,22.95,31.6,RISK-ON,7514.25,session_end,0.000,0.00,0.00,0.00
v3_baseline_pm30,2019-11-06,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8177.75,8220.43,8180.84,8170.46,42.68,46.2,RISK-ON,8177.75,tp1_then_be,0.500,42.68,0.01,-0.28
v3_baseline_pm30,2019-11-07,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8277.00,8232.41,8286.15,8300.34,44.59,36.6,RISK-ON,8277.00,tp1_then_be,0.500,44.59,0.27,-0.35
