variant,date,setup,side,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,voice_agree,size_mult,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
orb_only_pm30,2024-02-13,ORB,short,17581.25,18108.31,17502.01,17347.78,527.06,43.8,RISK-ON,8,1.00,17579.00,session_end,0.000,0.00,0.02,-0.45
orb_only_pm30,2024-02-20,ORB,short,17562.50,17981.64,17465.21,17334.76,419.14,40.5,RISK-ON,8,1.00,17981.64,stop,-1.000,-838.27,0.00,-1.08
orb_only_pm30,2024-03-06,ORB,short,18045.75,18622.01,17935.46,17761.76,576.26,39.6,RISK-ON,7,1.00,18272.25,session_end,0.000,0.00,0.08,-0.85
orb_only_pm30,2024-11-07,ORB,long,21425.00,20987.47,21413.50,21519.73,437.53,35.7,RISK-ON,7,1.00,21425.00,tp1_then_be,0.500,437.53,0.03,-0.55
orb_only_pm30,2024-11-11,ORB,short,21131.00,21562.57,21118.46,21006.79,431.57,38.2,RISK-ON,9,1.00,21131.00,tp1_then_be,0.500,431.57,0.03,-0.57
orb_only_pm30,2024-11-12,ORB,short,21066.00,21529.54,21097.77,20990.94,463.54,37.8,RISK-ON,9,1.00,21066.00,tp1_then_be,0.500,463.54,0.00,-0.60
orb_only_pm30,2024-11-15,ORB,short,20643.50,21241.86,20547.46,20369.97,598.36,41.7,RISK-ON,8,1.00,20643.50,tp1_then_be,0.500,598.36,0.17,-0.45
orb_only_pm30,2024-11-21,ORB,long,21197.25,20579.26,21301.55,21484.15,617.99,30.6,RISK-ON,7,1.00,20579.26,stop,-1.000,-1235.98,0.00,-1.00
orb_only_pm30,2024-12-04,ORB,long,21980.00,21347.20,22037.02,22211.32,632.80,35.6,RISK-ON,7,1.00,21980.00,tp1_then_be,0.500,632.80,0.33,-0.85
orb_only_pm30,2024-12-06,ORB,long,21861.50,21438.36,21913.98,22030.67,423.14,44.5,RISK-ON,7,1.00,22030.67,tp2_partial,0.700,592.31,0.60,-0.64
orb_only_pm30,2025-01-06,ORB,long,22070.00,21697.49,22126.18,22233.27,372.51,35.4,RISK-ON,7,1.00,22070.00,tp1_then_be,0.500,372.51,0.16,-0.75
orb_only_pm30,2025-01-30,ORB,long,21945.00,21558.47,21982.35,22087.10,386.53,38.4,RISK-ON,7,1.00,21558.47,stop,-1.000,-773.06,0.05,-1.00
orb_only_pm30,2025-02-06,ORB,long,22027.75,21709.96,22079.26,22171.81,317.79,43.9,RISK-ON,8,1.00,22027.75,tp1_then_be,0.500,317.79,0.78,-0.70
orb_only_pm30,2025-02-20,ORB,short,22139.25,22681.61,22044.07,21881.97,542.36,39.0,RISK-ON,7,1.00,22139.25,tp1_then_be,0.500,542.36,0.26,-0.74
orb_only_pm30,2025-02-24,ORB,short,21612.25,22189.31,21558.52,21397.63,577.06,33.4,RISK-ON,8,1.00,21612.25,tp1_then_be,0.500,577.06,0.21,-0.35
orb_only_pm30,2025-11-05,ORB,long,25870.25,25429.53,25928.18,26047.98,440.72,39.5,NEUTRAL,6,1.00,25870.25,tp1_then_be,0.500,440.72,0.15,-0.56
orb_only_pm30,2025-11-07,ORB,short,24770.25,25576.22,24750.22,24537.43,805.97,30.1,RISK-ON,7,1.00,24770.25,tp1_then_be,0.500,805.97,0.06,-0.29
orb_only_pm30,2025-11-17,ORB,long,25482.00,24920.30,25593.34,25764.87,561.70,34.5,RISK-ON,7,1.00,25482.00,tp1_then_be,0.500,561.70,0.30,-0.93
orb_only_pm30,2025-12-05,ORB,long,26240.75,25606.84,26392.54,26591.66,633.91,31.6,RISK-ON,7,1.00,25670.00,timeout,0.000,0.00,0.00,-0.91
orb_only_pm30,2025-12-31,ORB,short,25537.00,25925.89,25529.46,25428.60,388.89,35.6,RISK-ON,7,1.00,25925.89,stop,-1.000,-777.78,0.01,-1.15
orb_only_pm30,2026-01-21,ORB,long,25900.00,25081.20,25814.86,26001.35,818.80,44.8,RISK-ON,8,1.00,25900.00,tp1_then_be,0.500,818.80,0.09,-0.52
orb_only_pm30,2026-01-27,ORB,long,26439.00,25891.14,26566.41,26739.93,547.86,31.8,RISK-ON,7,1.00,26439.00,tp1_then_be,0.500,547.86,0.24,-0.82
orb_only_pm30,2026-01-28,ORB,short,26152.25,26713.39,26088.68,25926.41,561.14,36.5,NEUTRAL,9,1.00,26160.75,session_end,0.000,0.00,0.07,-0.46
orb_only_pm30,2026-02-02,ORB,long,25964.50,25506.36,26074.17,26219.41,458.14,37.8,RISK-ON,8,1.00,25964.50,tp1_then_be,0.500,458.14,0.31,-0.55
orb_only_pm30,2026-02-11,ORB,short,25284.00,25734.15,25253.07,25134.22,450.15,34.7,RISK-ON,7,1.00,25284.00,tp1_then_be,0.500,450.15,0.29,-0.95
orb_only_pm30,2026-02-12,ORB,short,25251.00,25640.55,25223.17,25120.67,389.55,35.4,RISK-ON,6,1.00,25640.55,stop,-1.000,-779.10,0.00,-1.13
orb_only_pm30,2026-02-17,ORB,short,24544.00,25295.24,24430.51,24207.60,751.24,30.1,RISK-ON,6,1.00,24737.25,timeout,0.000,0.00,0.12,-0.91
orb_only_pm30,2026-02-18,ORB,long,25106.00,24727.65,25177.17,25291.87,378.35,31.9,RISK-ON,7,1.00,25291.87,tp2_partial,0.746,564.22,0.78,-0.55
orb_only_pm30,2026-02-19,ORB,long,25300.00,24725.07,25160.64,25268.93,574.93,37.9,RISK-ON,8,1.00,25300.00,tp1_then_be,0.500,574.93,0.12,-0.76
orb_only_pm30,2026-02-20,ORB,long,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,8,1.00,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
orb_only_pm30,2026-02-25,ORB,long,25763.00,25147.81,25833.55,26003.44,615.19,38.8,RISK-ON,7,1.00,25314.25,timeout,0.000,0.00,0.03,-0.80
orb_only_pm30,2026-02-26,ORB,short,25216.00,25599.51,25134.11,25018.80,383.51,38.8,RISK-ON,7,1.00,25599.51,stop,-1.000,-767.02,0.00,-1.09
orb_only_pm40,2019-11-06,ORB,short,8177.75,8220.43,8180.84,8170.46,42.68,46.2,RISK-ON,10,1.00,8177.75,tp1_then_be,0.500,42.68,0.01,-0.28
orb_only_pm40,2020-01-08,ORB,long,8915.25,8845.67,8911.60,8928.90,69.58,44.4,RISK-ON,7,1.00,8928.90,tp2_partial,0.598,83.23,0.24,0.00
orb_only_pm40,2020-01-10,ORB,short,8994.50,9043.63,8994.37,8981.48,49.13,46.5,RISK-ON,10,1.00,8994.50,tp1_then_be,0.500,49.13,0.11,-0.15
orb_only_pm40,2021-01-15,ORB,short,12792.00,12933.34,12865.97,12848.75,141.34,46.2,RISK-ON,9,1.00,12792.00,tp1_then_be,0.500,141.34,0.00,-0.22
orb_only_pm40,2021-01-25,ORB,short,13411.75,13558.30,13464.71,13440.49,146.55,45.7,RISK-ON,9,1.00,13411.75,tp1_then_be,0.500,146.55,0.08,-0.07
orb_only_pm40,2021-01-29,ORB,short,12833.50,13137.87,12949.22,12899.57,304.37,47.2,RISK-ON,9,1.00,12833.50,tp1_then_be,0.500,304.37,0.00,-0.20
orb_only_pm40,2021-02-08,ORB,short,13612.50,13676.95,13612.63,13595.93,64.45,44.0,RISK-ON,10,1.00,13595.93,tp2_partial,0.629,81.02,0.34,-0.00
orb_only_pm40,2021-02-16,ORB,short,13719.25,13863.44,13783.88,13763.38,144.19,51.9,RISK-ON,9,1.00,13719.25,tp1_then_be,0.500,144.19,0.01,-0.17
orb_only_pm40,2021-12-01,ORB,short,16243.00,16358.72,16248.11,16219.30,115.72,41.2,RISK-ON,10,1.00,16219.30,tp2_partial,0.602,139.42,0.26,-0.36
orb_only_pm40,2021-12-09,ORB,short,16215.75,16416.91,16313.33,16286.08,201.16,42.2,NEUTRAL,10,1.00,16215.75,tp1_then_be,0.500,201.16,0.05,-0.05
orb_only_pm40,2021-12-28,ORB,short,16468.25,16600.72,16500.01,16473.63,132.47,44.7,RISK-ON,10,1.00,16468.25,tp1_then_be,0.500,132.47,0.00,-0.16
orb_only_pm40,2022-03-01,ORB,short,14085.00,14259.65,14126.50,14092.16,174.65,45.2,RISK-ON,10,1.00,14085.00,tp1_then_be,0.500,174.65,0.10,-0.02
orb_only_pm40,2022-03-08,ORB,long,13535.50,13206.89,13413.14,13466.42,328.61,44.2,RISK-ON,8,1.00,13535.50,tp1_then_be,0.500,328.61,0.05,-0.14
orb_only_pm40,2023-02-01,ORB,long,12290.75,12085.05,12321.87,12381.82,205.70,40.2,RISK-ON,8,1.00,12085.05,stop,-1.000,-411.41,0.07,-1.05
orb_only_pm40,2023-11-14,ORB,long,16258.75,15761.50,16106.17,16189.38,497.25,44.4,RISK-ON,8,1.00,16258.75,tp1_then_be,0.500,497.25,0.02,-0.83
orb_only_pm40,2023-11-22,ORB,short,16059.00,16586.54,15939.08,15773.17,527.54,46.0,RISK-ON,7,1.00,16063.00,timeout,0.000,0.00,0.10,-0.84
orb_only_pm40,2024-01-02,ORB,short,16737.25,17100.66,16685.99,16581.67,363.41,50.5,RISK-ON,8,1.00,16766.75,timeout,0.000,0.00,0.13,-0.94
orb_only_pm40,2024-01-17,ORB,long,17128.25,16704.32,17136.59,17244.20,423.93,45.6,RISK-ON,8,1.00,16704.32,stop,-1.000,-847.87,0.00,-1.00
orb_only_pm40,2024-02-13,ORB,short,17581.25,18108.31,17502.01,17347.78,527.06,43.8,RISK-ON,8,1.00,17579.00,session_end,0.000,0.00,0.02,-0.45
orb_only_pm40,2024-02-20,ORB,short,17562.50,17981.64,17465.21,17334.76,419.14,40.5,RISK-ON,8,1.00,17981.64,stop,-1.000,-838.27,0.00,-1.08
orb_only_pm40,2024-11-15,ORB,short,20643.50,21241.86,20547.46,20369.97,598.36,41.7,RISK-ON,8,1.00,20643.50,tp1_then_be,0.500,598.36,0.17,-0.45
orb_only_pm40,2024-12-06,ORB,long,21861.50,21438.36,21913.98,22030.67,423.14,44.5,RISK-ON,7,1.00,22030.67,tp2_partial,0.700,592.31,0.60,-0.64
orb_only_pm40,2025-02-06,ORB,long,22027.75,21709.96,22079.26,22171.81,317.79,43.9,RISK-ON,8,1.00,22027.75,tp1_then_be,0.500,317.79,0.78,-0.70
orb_only_pm40,2026-01-21,ORB,long,25900.00,25081.20,25814.86,26001.35,818.80,44.8,RISK-ON,8,1.00,25900.00,tp1_then_be,0.500,818.80,0.09,-0.52
orb_only_pm40,2026-02-20,ORB,long,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,8,1.00,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
orb_regime_pm30,2019-11-06,ORB,short,8177.75,8220.43,8180.84,8170.46,42.68,46.2,RISK-ON,10,1.00,8177.75,tp1_then_be,0.500,42.68,0.01,-0.28
orb_regime_pm30,2019-11-07,ORB,long,8277.00,8232.41,8286.15,8300.34,44.59,36.6,RISK-ON,7,1.00,8277.00,tp1_then_be,0.500,44.59,0.27,-0.35
orb_regime_pm30,2019-11-14,ORB,short,8223.00,8259.34,8232.31,8225.39,36.34,32.8,NEUTRAL,10,1.00,8223.00,tp1_then_be,0.500,36.34,0.08,-0.62
orb_regime_pm30,2019-11-21,ORB,short,8257.50,8287.91,8256.11,8247.98,30.41,39.2,RISK-ON,8,1.00,8257.50,tp1_then_be,0.500,30.41,0.12,-0.18
orb_regime_pm30,2019-12-03,ORB,short,8175.50,8238.44,8178.08,8162.59,62.94,32.9,NEUTRAL,8,1.00,8175.50,tp1_then_be,0.500,62.94,0.00,-0.17
orb_regime_pm30,2019-12-11,ORB,long,8404.00,8360.33,8408.47,8420.84,43.67,35.3,RISK-ON,6,1.00,8407.25,session_end,0.500,43.67,0.60,0.00
orb_regime_pm30,2019-12-18,ORB,long,8634.75,8581.10,8640.06,8654.76,53.65,37.5,RISK-ON,7,1.00,8634.75,tp1_then_be,0.500,53.65,0.12,-0.59
orb_regime_pm30,2019-12-26,ORB,long,8758.00,8738.38,8760.31,8766.10,19.62,36.1,RISK-ON,9,1.00,8758.00,tp1_then_be,0.500,19.62,1.02,-0.13
orb_regime_pm30,2020-01-08,ORB,long,8915.25,8845.67,8911.60,8928.90,69.58,44.4,RISK-ON,7,1.00,8928.90,tp2_partial,0.598,83.23,0.24,0.00
orb_regime_pm30,2020-01-10,ORB,short,8994.50,9043.63,8994.37,8981.48,49.13,46.5,RISK-ON,10,1.00,8994.50,tp1_then_be,0.500,49.13,0.11,-0.15
orb_regime_pm30,2020-01-15,ORB,long,9083.50,9049.39,9086.93,9096.71,34.11,39.3,RISK-ON,8,1.00,9083.50,tp1_then_be,0.500,34.11,0.23,-0.17
orb_regime_pm30,2020-02-03,ORB,long,9114.75,9033.96,9130.20,9155.89,80.79,34.3,RISK-ON,7,1.00,9127.00,timeout,0.500,80.79,0.58,-0.03
orb_regime_pm30,2020-02-11,ORB,short,9537.75,9601.89,9524.95,9504.54,64.14,36.6,RISK-ON,8,1.00,9537.75,tp1_then_be,0.500,64.14,0.21,-0.21
