variant,date,setup,side,entry_5m_ix,entry_px,stop,tp1,tp2,sl_dist,pm_final,quant,red_team,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,bars_5m,mfe_r,mae_r
v3_4_fib_partial_pm30,2021-01-13,ORB,long,16,12935.75,12855.10,12926.80,12945.31,80.65,34.4,34.4,0.0,RISK-ON,8,12935.75,tp1_then_be,0.500,80.65,0,0.00,-0.18
v3_4_fib_partial_pm30,2021-01-15,ORB,short,19,12792.00,12933.34,12865.97,12848.75,141.34,46.2,-46.2,0.0,RISK-ON,9,12792.00,tp1_then_be,0.500,141.34,0,0.00,-0.22
v3_4_fib_partial_pm30,2021-01-19,ORB,short,15,12863.75,12933.51,12877.08,12862.54,69.76,34.6,-34.6,0.0,RISK-ON,8,12863.75,tp1_then_be,0.500,69.76,0,0.00,-0.30
v3_4_fib_partial_pm30,2021-01-25,ORB,short,28,13411.75,13558.30,13464.71,13440.49,146.55,45.7,-45.7,0.0,RISK-ON,9,13411.75,tp1_then_be,0.500,146.55,0,0.08,-0.07
v3_4_fib_partial_pm30,2021-01-29,ORB,short,51,12833.50,13137.87,12949.22,12899.57,304.37,47.2,-47.2,0.0,RISK-ON,9,12833.50,tp1_then_be,0.500,304.37,0,0.00,-0.20
v3_4_fib_partial_pm30,2021-02-08,ORB,short,36,13612.50,13676.95,13612.63,13595.93,64.45,44.0,-44.0,0.0,RISK-ON,10,13595.93,tp2_partial,0.629,81.02,0,0.34,-0.00
v3_4_fib_partial_pm30,2021-02-10,ORB,short,22,13556.00,13766.70,13690.45,13670.99,210.70,34.2,-46.2,15.0,RISK-ON,9,13556.00,tp1_then_be,0.500,210.70,0,0.00,-0.37
v3_4_fib_partial_pm30,2021-02-12,EMA PB,long,34,13739.25,13711.35,13767.15,13781.10,27.90,33.4,33.4,0.0,RISK-ON,7,13732.75,timeout,0.000,0.00,12,0.56,-0.57
v3_4_fib_partial_pm30,2021-02-16,ORB,short,43,13719.25,13863.44,13783.88,13763.38,144.19,51.9,-51.9,0.0,RISK-ON,9,13719.25,tp1_then_be,0.500,144.19,0,0.01,-0.17
v3_4_fib_partial_pm30,2021-02-22,ORB,long,15,13427.25,13353.65,13442.45,13465.29,73.60,30.8,30.8,0.0,RISK-ON,6,13427.25,tp1_then_be,0.500,73.60,3,0.25,-0.24
v3_4_fib_partial_pm30,2021-02-25,ORB,short,27,13078.75,13296.14,13143.72,13103.93,217.39,34.1,-34.1,0.0,RISK-ON,7,13078.75,tp1_then_be,0.500,217.39,0,0.12,-0.05
v3_4_fib_partial_pm30,2021-03-09,ORB,long,15,12658.00,12576.12,12671.90,12696.90,81.88,36.9,36.9,0.0,NEUTRAL,8,12658.00,tp1_then_be,0.500,81.88,0,0.24,-0.19
v3_4_fib_partial_pm30,2021-04-16,EMA PB,long,63,14030.25,14003.47,14057.03,14070.41,26.78,32.2,32.2,0.0,RISK-ON,7,14034.00,timeout,0.000,0.00,12,0.40,-0.79
v3_4_fib_partial_pm30,2021-08-04,EMA PB,long,61,15104.50,15080.59,15128.41,15140.37,23.91,30.4,30.4,0.0,NEUTRAL,7,15080.59,stop,-1.000,-47.82,2,0.00,-1.07
v3_4_fib_partial_pm30,2021-11-09,ORB,short,15,16327.00,16394.22,16343.73,16330.67,67.22,39.6,-39.6,0.0,RISK-ON,8,16330.67,tp2_partial,0.473,63.55,0,0.19,-0.03
