time,open,high,low,close,volume
1675121400,11992.5,11994.0,11989.5,11993.25,142
1675121700,11993.5,12002.25,11992.75,12001.0,501
1675122000,12000.5,12003.75,11998.75,11999.5,230
1675122300,11999.75,12002.25,11996.0,11997.0,237
1675122600,11997.0,12003.5,11996.0,12000.25,194
1675122900,12000.5,12003.25,12000.5,12002.5,127
1675123200,12002.5,12004.5,11991.5,11993.0,623
1675123500,11993.25,11996.25,11988.5,11994.5,418
1675123800,11994.0,11996.75,11990.5,11990.5,201
1675124100,11990.75,11991.25,11984.75,11987.5,497
1675124400,11987.75,11988.25,11984.75,11986.5,200
1675124700,11986.75,11993.75,11986.75,11992.0,352
1675125000,11991.75,12000.0,11991.75,11995.5,469
1675125300,11995.25,11998.25,11993.0,11996.75,240
1675125600,11997.0,11998.25,11989.5,11990.25,369
1675125900,11990.5,11994.75,11988.75,11994.25,159
1675126200,11994.75,11995.5,11989.0,11992.75,220
1675126500,11992.75,11995.25,11991.5,11995.25,181
1675126800,11995.25,11997.25,11993.0,11994.75,300
1675127100,11994.25,11996.0,11992.25,11994.25,102
1675127400,11993.5,11996.5,11993.5,11994.5,146
1675127700,11994.5,11995.5,11989.0,11989.75,273
1675128000,11989.5,11991.75,11984.5,11985.5,411
1675128300,11986.0,11987.25,11979.0,11980.25,595
1675128600,11981.0,11984.5,11977.25,11979.75,567
1675128900,11980.0,12000.5,11979.5,11998.75,863
1675129200,11999.25,12004.0,11996.75,11997.25,526
1675129500,11997.5,12000.5,11996.0,11996.75,219
1675129800,11997.25,11998.75,11995.0,11995.75,216
1675130100,11996.25,11996.75,11990.25,11991.25,262
1675130400,11990.75,11993.0,11982.5,11987.75,415
1675130700,11986.75,11990.25,11985.75,11988.0,174
1675131000,11987.75,11990.0,11987.0,11988.25,151
1675131300,11990.0,11994.25,11988.25,11994.0,212
1675131600,11994.25,11996.25,11992.25,11993.25,209
1675131900,11993.0,11996.75,11991.5,11992.0,150
1675132200,11992.25,11992.75,11989.5,11992.25,221
1675132500,11992.25,11992.25,11987.0,11989.5,232
1675132800,11989.75,11989.75,11980.0,11981.25,480
1675133100,11981.0,11986.25,11981.0,11986.0,195
1675133400,11986.25,11986.25,11980.25,11981.0,228
1675133700,11980.75,11982.5,11979.5,11980.75,204
1675134000,11981.0,11983.25,11980.0,11982.0,166
1675134300,11982.0,11983.0,11978.25,11983.0,198
1675134600,11982.75,11983.75,11977.75,11978.5,197
1675134900,11978.25,11978.25,11968.0,11968.0,969
1675135200,11968.25,11969.0,11962.5,11963.75,701
1675135500,11963.5,11963.5,11950.0,11951.5,1260
1675135800,11950.75,11956.75,11947.5,11949.0,541
1675136100,11949.0,11949.25,11929.75,11935.5,1855
1675136400,11935.75,11941.5,11923.25,11928.0,978
